[INFO] time: 2024-12-10 05:40:34, module: meta_data_mgt, actor: CoverageAnalysisManager, function: create_coverage_analysis, payload: {'coverage_analysis_name': 'Project A Coverage Analysis', 'coverage_analysis_parameter': {'constellation': 'TLE_3P_22Sats_29deg_F1', 'minLatitude': '-53', 'maxLatitude': '51', 'leastSatCount': '1'}, 'f_user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 05:40:53, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_sim_job, payload: {'coverage_analysis_uid': '4c577d8f-ad8e-4c50-980e-c8da9a5c7b1b'}
[INFO] time: 2024-12-10 05:40:53, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_simulation_async, payload: Not a Django WSGI Request
[INFO] time: 2024-12-10 05:50:18, module: meta_data_mgt, actor: CoverageAnalysisManager, function: create_coverage_analysis, payload: {'coverage_analysis_name': 'Project A Coverage Analysis', 'coverage_analysis_parameter': {'constellation': 'TLE_3P_22Sats_29deg_F1', 'minLatitude': '-53', 'maxLatitude': '53', 'leastSatCount': '1'}, 'f_user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 05:50:28, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_sim_job, payload: {'coverage_analysis_uid': 'c2828735-5998-4efe-be2a-61be0021d2c0'}
[INFO] time: 2024-12-10 05:50:28, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_simulation_async, payload: Not a Django WSGI Request
[INFO] time: 2024-12-10 05:53:58, module: meta_data_mgt, actor: CoverageAnalysisManager, function: create_coverage_analysis, payload: {'coverage_analysis_name': 'Project A Coverage Analysis', 'coverage_analysis_parameter': {'constellation': 'TLE_12P_22Sats_29deg_F7', 'minLatitude': '-53', 'maxLatitude': '60', 'leastSatCount': '4'}, 'f_user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 05:54:08, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_sim_job, payload: {'coverage_analysis_uid': '39d15fe7-62ba-42f1-b497-a54b59b50ebd'}
[INFO] time: 2024-12-10 05:54:08, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_simulation_async, payload: Not a Django WSGI Request
[INFO] time: 2024-12-10 06:36:56, module: meta_data_mgt, actor: UserManager, function: login_user, payload: {'user_name': 'qweqwe', 'user_password': 'qweqweqwe'}
[INFO] time: 2024-12-10 06:37:01, module: meta_data_mgt, actor: UserManager, function: login_user, payload: {'user_name': 'qweqwe', 'user_password': 'qweqweqwe'}
[INFO] time: 2024-12-10 06:37:16, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:37:20, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:37:20, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:37:28, module: simulation_data_mgt, actor: handoverSimJobManager, function: download_single_beam_tmp, payload: {'handover_uid': 'latestAnalysis.analysis_uid'}
[INFO] time: 2024-12-10 06:37:38, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:37:38, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:45:53, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:45:53, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:49:54, module: meta_data_mgt, actor: HandoverManager, function: create_handover, payload: {'handover_name': 'Project A Handover', 'handover_parameter': {'constellation': 'TLE_3P_22Sats_29deg_F1', 'handover_strategy': 'MinRange', 'handover_decision': 'Nonpreemptive', 'beam_counts': 28, 'reuse_factor': 1, 'cell_ut': '28Cell_1UT'}, 'f_user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:50:06, module: simulation_data_mgt, actor: CoverageAnalysisSimJobManager, function: run_coverage_analysis_sim_job, payload: {'coverage_analysis_uid': '8d1cf376-d07c-42bf-b998-107de1e64163'}
[INFO] time: 2024-12-10 06:50:16, module: simulation_data_mgt, actor: handoverSimJobManager, function: run_handover_sim_job, payload: {'handover_uid': '8d1cf376-d07c-42bf-b998-107de1e64163'}
[INFO] time: 2024-12-10 06:50:16, module: simulation_data_mgt, actor: handoverSimJobManager, function: run_handover_simulation_async, payload: Not a Django WSGI Request
[INFO] time: 2024-12-10 06:50:47, module: simulation_data_mgt, actor: analyzeHandoverResult, function: analyzeHandoverResult, payload: Not a Django WSGI Request
[INFO] time: 2024-12-10 06:50:47, module: simulation_data_mgt, actor: genHandoverResultPDF, function: genHandoverResultPDF, payload: Not a Django WSGI Request
[INFO] time: 2024-12-10 06:51:58, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:52:02, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:52:02, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:52:22, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
[INFO] time: 2024-12-10 06:55:58, module: meta_data_mgt, actor: HandoverManager, function: query_handoverData_by_user, payload: {'user_uid': '476c9238-b02d-4212-80eb-c6d0be62b597'}
